id,CT,GeoNgn2
28453578,+1-2*5/0-1/5-0,1.6746178673561378
28452318,+1-2*4/0-1/5-0,1.6746178673561378
28567426,+4-3*3/1-0/1-5,1.654177110910986
30084852,-0*1/3/4-2*2/0,1.6458825742518433
22181618,+2*6-0*1/3/4-2,1.6408623076726536
25885933,+0+3-2*3/0/0-4,1.6304782056304277
25234346,+5/4-0/4-2/0-2,1.630368407173669
11623917,+0*0*3/4-0/5-2,1.6208125916674212
30084866,-0*1/3/4-2*4/5,1.6188815416082074
29644823,-0*1*1/3/3/3-2,1.6089566571292642
22184642,+2*6-6*6/4/4-2,1.6037166869530763
30148375,-6*6/4/4-2*5/4,1.6037166869530763
30533690,-6*6/4/4-0*2-2,1.6037166869530763
28799088,+1-1*1-6*6-1/3,1.6018864242888249
30544666,-0*1/6/6-2/5-2,1.6010739932600904
30449291,-0*1/3/5-2*2-2,1.6004969724548006
22181625,+2*6-0*1/3/5-2,1.6004969724548006
30874968,-0*0/5-0*0/5-2,1.5987494322326408
30873960,-0*0/4-0*0/4-2,1.5987494322326408
22181520,+2*6-0*0/3/5-2,1.597680017230661
8636269,+0*0*5+4+4-2/6,1.5967438065902924
20279327,+5/4+4-5*5-0/1,1.5964280810276317
29643458,-0*0*1/4/6/6-2,1.595918575790377
20742852,+0*6+4-0/1-3-5,1.595583910395385
30446260,-0*0/3/5-0*0-2,1.5942347011862739
26997934,+3-2*3*3/0/0/0,1.5918776525770806
2567721,+0+4-0*3*3-5,1.5894904694831709
19702932,+6*6+5-5*5-2/5,1.585777964394017
11290381,+0*4*5/6-5*5/6,1.5850204063704685
27882955,+5-2*3*3-5*5/3,1.5743071528484351
21461405,+0+4+6-0*3*3-5,1.574029873408348
17532739,+3*6/4-2*3-6/4,1.5728748673825315
17533916,+3*6/5-2*3-6/5,1.5728748673825315
30577221,-1*2/6/6-0/6-0,1.572791833938993
28172926,+4-2*3*3-3/5-5,1.572536030774333
25781719,+3+6-2*3*3/0/0,1.5703811649278128
28636458,+6-2*3/0-6/4-0,1.570187801150131
30114189,-2*2/6/6-0*0/5,1.5692019814930755
18118773,+3*6/4-6/5-2-2,1.5673234077982792
16576721,+0*5*5-3*4/2/6,1.5659673522032007
19740482,+0*5+5-0/6-5/3,1.5659673522032007
19740454,+0*5+5-0/6-0/6,1.5659673522032007
22025322,+1*5-1*1*4*4-2,1.5648657612977908
3163131,-0*0/1/4-2-2,1.563748539708356
3128004,-0*1/3/6-2/0,1.5608289504903965
26001589,+4+5-4*5*5-4*6,1.5580995219471554
28031066,+3-4*5*5-1*5-2,1.5576155158181282
28031570,+3-5*5*5-1*5-2,1.5576155158181282
29059848,+6-2*5-2/1-6/3,1.5570782881542033
29058945,+6-2*4-2/1-6/3,1.5570782881542033
29058070,+6-2*3-2/3-6/3,1.5570782881542033
29058042,+6-2*3-2/1-6/3,1.5570782881542033
18125471,+4*4/5-4/5-3-4,1.5554436542319396
12851452,+0*0/6+5-0/6-1,1.542921564439139
12851202,+0*0/6+4-0/6-3,1.542921564439139
12851200,+0*0/6+4-0/6-1,1.542921564439139
22839404,+0*5-4*6/1-0/6,1.5421847338585255
28344095,+4-5*5/4-3*3-6,1.541607325292485
30758591,-6*6/1/5-2-2-2,1.5402733248141718
6943424,+0*3*4+1/6-4/6,1.539629002614715
20677017,+3*6+4-1*6-3-5,1.5387448307972265
28395444,+6-6*6/5-1*3-0,1.5356583037515426
29418862,+1-0/6-2/5-4-5,1.5327134859930907
19122504,+5/4+4-1*3*3-5,1.5301606640163288
27131513,+3-1*3*4*4-2*4,1.5271588184902336
22608446,+0*4-0*4*6-0/6,1.5257027185251189
19979699,+5/4+4-2*4-5*5,1.5225219766548057
7215176,+1*1/6+4*4-4/6,1.5218282040024458
7215182,+1*1/6+4*4-5/6,1.5218282040024458
7215308,+1*1/6+5*5-5/6,1.5180422801654871
20661078,+2*6+4-1*3-3-5,1.5134795241248138
19979399,+5/4+4-0*0-5*5,1.5126163072147798
27833468,+1-2*3*3-1*1/3,1.5113422769997553
20660910,+2*6+4-0*1-3-5,1.5094859930900413
2563217,+4+4-1*1/3/6,1.50854803693991
21450997,+5+5+6-1*1/3/6,1.50854803693991
30533928,-6*6/4/5-1*2-2,1.5073367985551407
27619371,+6-1*4/2/2-2/4,1.5067755197236128
27951708,+4-2*4/3-3*3/4,1.506333271219669
26975472,+1-1*1*1*4/0/3,1.505385746099288
20657986,+2*5+5-5*5-2-2,1.5042438471713813
19846618,+4*4+3-3/6-3/6,1.4980285161348261
24557678,+5*5-3/6-3/6-3,1.4980285161348261
26126258,+0+3-6*6/0-1*3,1.4933310939774393
16470666,+4+4+5+5-5*5-1,1.4923884217126964
2830195,+5-2*5/1-5*5,1.491623856170201
144974,+5/4+4-5*5,1.491399245572364
26490584,+4+4-2*4/1-1-1,1.4903009949144896
29791489,-0*1*1/4/4-4/1,1.4890805956049502
18212419,+0*3+3-1*1*3*5,1.484164551411934
27405395,+0-0*0/1/2-0*1,1.4836616470870911
27720666,+0-0*0/6/6-2-2,1.4833178046474027
26957905,+4-2*4*4*4*4*4,1.481872757430524
426153,+1*1*1*1/2/6+1/2,1.4770923656905446
19488550,+0*0+5-5*5-0/3,1.4713677661211606
1927873,+4/3+4-4/1-3,1.4621860787085477
29791621,-0*1*1/5/5-5/1,1.46196886633481
28977187,+3-1*3-0/1-1/0,1.461477715644707
30866768,-4*6*6-6*6/4-6,1.457366582100133
30869862,-5*6*6-6*6/5-6,1.457366582100133
